Year,Ámbito,Value
2020,Total,5.860714234
2020,Urbano,2.462260479
2020,Rural,11.50848823
2018,Total,5.694596744
2018,Urbano,1.6359274
2018,Rural,11.99919928
2016,Total,5.801821028
2016,Urbano,1.662002707
2016,Rural,12.68256647
2014,Total,6.449928174
2014,Urbano,1.570972001
2014,Rural,14.55013675
2012,Total,6.543733099
2012,Urbano,1.604974698
2012,Rural,14.74852209
2010,Total,7.936325485
2010,Urbano,2.232538134
2010,Rural,17.42903768
2008,Total,7.88517539
2008,Urbano,1.945673927
2008,Rural,17.76973305
2006,Total,6.636779983
2006,Urbano,1.297053626
2006,Rural,15.51420572
2005,Total,9.364706194
2005,Urbano,1.764871982
2005,Rural,22.24623566
2004,Total,8.526336619
2004,Urbano,2.425834547
2004,Rural,18.70283886
2002,Total,8.614271555
2002,Urbano,1.543179968
2002,Rural,20.06477141
2000,Total,12.57891022
2000,Urbano,2.14230229
2000,Rural,28.94066717
1998,Total,17.53327718
1998,Urbano,4.735187554
1998,Rural,37.45131702
1996,Total,18.29001279
1996,Urbano,6.528352666
1996,Rural,36.56750108
1994,Total,12.48811837
1994,Urbano,2.492395173
1994,Rural,27.53487919
1992,Total,10.58177023
1992,Urbano,2.760779858
1992,Rural,22.39886283
