Year,Grupo,Clasificación,Value
2018,Sexo,Total,20.41180672
2016,Sexo,Total,20.05444635
2014,Sexo,Total,23.35073755
2012,Sexo,Total,23.31694866
2010,Sexo,Total,24.82969662
2008,Sexo,Total,21.74334354
2018,Sexo,Hombres,20.48392627
2016,Sexo,Hombres,19.96277467
2014,Sexo,Hombres,23.38430042
2012,Sexo,Hombres,23.23223243
2010,Sexo,Hombres,25.04668371
2008,Sexo,Hombres,21.8431993
2018,Sexo,Mujeres,20.34373647
2016,Sexo,Mujeres,20.1404109
2014,Sexo,Mujeres,23.31890121
2012,Sexo,Mujeres,23.39751158
2010,Sexo,Mujeres,24.62342863
2008,Sexo,Mujeres,21.64963965
2018,Grupo_de_edad,Menores_de_18_años,23.89717402
2016,Grupo_de_edad,Menores_de_18_años,23.25631285
2014,Grupo_de_edad,Menores_de_18_años,27.567279
2012,Grupo_de_edad,Menores_de_18_años,28.15793754
2010,Grupo_de_edad,Menores_de_18_años,29.43966356
2008,Grupo_de_edad,Menores_de_18_años,25.69210749
2018,Grupo_de_edad,De_18_años_o_más,18.81055135
2016,Grupo_de_edad,De_18_años_o_más,18.47953171
2014,Grupo_de_edad,De_18_años_o_más,21.25874429
2012,Grupo_de_edad,De_18_años_o_más,20.87208603
2010,Grupo_de_edad,De_18_años_o_más,22.31494298
2008,Grupo_de_edad,De_18_años_o_más,19.45310995
2018,Grupo_de_edad,Entre_12_y_29_años_de_edad,21.00571854
2016,Grupo_de_edad,Entre_12_y_29_años_de_edad,20.5614968
2014,Grupo_de_edad,Entre_12_y_29_años_de_edad,24.64984616
2012,Grupo_de_edad,Entre_12_y_29_años_de_edad,24.09178873
2010,Grupo_de_edad,Entre_12_y_29_años_de_edad,25.26968414
2008,Grupo_de_edad,Entre_12_y_29_años_de_edad,22.05623735
2018,Grupo_de_edad,De_0_a_11_años_y_de_30_años_o_más,20.15045329
2016,Grupo_de_edad,De_0_a_11_años_y_de_30_años_o_más,19.83077432
2014,Grupo_de_edad,De_0_a_11_años_y_de_30_años_o_más,22.7699287
2012,Grupo_de_edad,De_0_a_11_años_y_de_30_años_o_más,22.95915647
2010,Grupo_de_edad,De_0_a_11_años_y_de_30_años_o_más,24.62438301
2008,Grupo_de_edad,De_0_a_11_años_y_de_30_años_o_más,21.59184299
2018,Grupo_de_edad,De_65_años_o_más,18.20854206
2016,Grupo_de_edad,De_65_años_o_más,17.3501677
2014,Grupo_de_edad,De_65_años_o_más,19.97663114
2012,Grupo_de_edad,De_65_años_o_más,19.91769221
2010,Grupo_de_edad,De_65_años_o_más,21.43007915
2008,Grupo_de_edad,De_65_años_o_más,19.30434298
2018,Grupo_de_edad,Menores_de_65_años,20.61185893
2016,Grupo_de_edad,Menores_de_65_años,20.28378191
2014,Grupo_de_edad,Menores_de_65_años,23.62668894
2012,Grupo_de_edad,Menores_de_65_años,23.58717318
2010,Grupo_de_edad,Menores_de_65_años,25.07773128
2008,Grupo_de_edad,Menores_de_65_años,21.91265474
