Year,Value
2022/I  P/,3.715510266
2021/I,3.434690106
2020/I,3.045157677
2019/I,2.549005942
2018/I,2.374380878
2017/I,2.634018767
2016/I,2.363514531
2015/I,1.924735791
2014/I,1.723253078
2013/I,1.617289983
2012/I,1.815229155
2011/I,1.773004012
2010/I,1.931261402
2009/I,2.714947331
2008/I,2.111632684
2007/I,2.387767739
2006/I,2.405447954
2005/I,2.214759504
2004/I,1.964610229
2003/I,1.771944248
2002/I,1.133758266
2001/I,1.118224163
2000/I,0.819732504
1999/I,0.930500745
1998/I,0.878572142
1997/I,0.920959981
1996/I,0.983190719
2022/II,4.11387551
2021/II,3.968248037
2020/II,4.57038572
2019/II,2.982144414
2018/II,2.975884712
2017/II,2.604577497
2016/II,2.521817897
2015/II,2.104913972
2014/II,1.839600649
2013/II,1.88079121
2012/II,2.232186808
2011/II,1.980993976
2010/II,2.208123497
2009/II,2.512490353
2008/II,2.236252505
2007/II,2.605667511
2006/II,2.886894662
2005/II,2.609195195
2004/II,2.549101801
2003/II,2.0709372
2002/II,1.289504901
2001/II,1.180548414
2000/II,0.938325593
1999/II,1.044668867
1998/II,1.073682563
1997/II,1.108561922
1996/II,1.159734494
2021/III,4.201379217
2020/III,4.017762841
2019/III,3.122028699
2018/III,2.742801324
2017/III,2.529082786
2016/III,2.564466337
2015/III,2.302843864
2014/III,1.793877317
2013/III,1.809094491
2012/III,1.807536995
2011/III,2.064785272
2010/III,2.128949367
2009/III,2.347587149
2008/III,2.114896377
2007/III,2.652566532
2006/III,2.727602103
2005/III,2.58980968
2004/III,2.603389672
2003/III,2.277589952
2002/III,1.338462119
2001/III,1.227279908
2000/III,0.953158447
1999/III,0.980017181
1998/III,1.136675575
1997/III,1.016960822
1996/III,1.059108709
2021/IV,4.288672533
2020/IV,3.457684676
2019/IV,2.826365393
2018/IV,2.922864045
2017/IV,2.661236585
2016/IV,2.572368286
2015/IV,2.138895753
2014/IV,1.837358695
2013/IV,1.69008675
2012/IV,1.634116263
2011/IV,1.900931938
2010/IV,1.792844526
2009/IV,1.941760167
2008/IV,2.593589767
2007/IV,2.261170982
2006/IV,2.470291937
2005/IV,2.44089063
2004/IV,2.255427385
2003/IV,2.180796234
2002/IV,1.326169868
2001/IV,1.167749372
2000/IV,0.996666088
1999/IV,0.971984045
1998/IV,1.193754957
1997/IV,0.850474759
1996/IV,0.919806615
